MAG_ID	fastANI95_representative	GTDB_representative_classification	GTDB_display_taxon	completeness	contamination	bacdiveAI_Aerobic	bacdiveAI_Anaerobic	oxygen_use_class	mean_exposed_abundance_percent	mean_reference_abundance_percent	exposed_prevalence_n	exposed_prevalence_percent	reference_prevalence_n	reference_prevalence_percent	log2_mean_abundance_ratio_pseudocount_1e-5	descriptive_response_score	detected_only_in_exposed_samples_in_this_cohort	ANCOMBC2_exposure_p	ANCOMBC2_exposure_q	ANCOMBC2_exposure_effect	ALDEx2_exposure_p	ALDEx2_exposure_q	ALDEx2_exposure_effect
A01_bin.12	A01_bin.12	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter ornithocaccae	Acutalibacter ornithocaccae	97.99	1.23	FALSE	TRUE	Predicted anaerobe	0.02665469115957447	0.009252959666666666	21	44.680851063829785	6	33.333333333333336	1.5253854814355403	0.6815552151094967	FALSE	0.207405982613163	0.736494903547362	-0.465804903163888	0.48696833518746	1.0	-0.0922707899750634
A01_bin.14	A09_bin.62	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans	Ruthenibacterium lactatiformans	97.28	1.86	FALSE	TRUE	Predicted anaerobe	0.03387454574255319	0.011418762677777777	35	74.46808510638297	16	88.88888888888889	1.5679582105198202	1.1676284546424192	FALSE	0.167445163688175	0.675096374234866	-0.481790928098447	0.423519704205599	1.0	0.00582336653557716
A01_bin.16	B01_bin.20	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes dispar	Alistipes dispar	96.95	7.45	FALSE	TRUE	Predicted anaerobe	0.046004060904255316	0.11768761111111112	5	10.638297872340425	3	16.666666666666668	-1.3549383483992288	-0.14414237748927966	FALSE	0.370416843983217	0.837888208066626	-0.424227501880609	0.466174638472511	0.977442933965122	0.0940294990257945
A01_bin.17	C03_bin.49	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	Bifidobacterium longum	94.41	0.77	FALSE	TRUE	Predicted anaerobe	0.030087869189361703	0.014611705333333334	41	87.23404255319149	12	66.66666666666667	1.0415497704666326	0.9085859699815305	FALSE	0.358175702123318	0.836841522175111	-0.295108088491289	0.163273877372075	1.0	-0.181036552019422
A01_bin.20	F02_bin.31	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia massiliensis	Akkermansia massiliensis	97.96	0	FALSE	TRUE	Predicted anaerobe	0.026504669319148935	0.027857574111111113	8	17.02127659574468	4	22.22222222222222	-0.0717966645987759	-0.012220708867876748	FALSE	0.14202147589195	0.640690333577322	-0.6386541330081	0.643470830214253	0.996917056554192	0.0585121331515128
A01_bin.21	D08_bin.97	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae	Parabacteroides merdae	98.85	1.06	FALSE	TRUE	Predicted anaerobe	0.02107334980212766	0.0277703485	30	63.829787234042556	12	66.66666666666667	-0.39796059179419074	-0.2540173990175686	FALSE	0.764800622960556	0.973335000126514	0.10248649981342	0.377352450828132	0.99927718499246	0.0871069201794178
A01_bin.23	D08_bin.21	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	Alistipes putredinis	93.32	0.96	FALSE	TRUE	Predicted anaerobe	0.11026826070212765	0.11631573427777778	37	78.72340425531915	15	83.33333333333333	-0.07702187518787254	-0.060634242169176254	FALSE	0.232828524305097	0.764231036679804	0.407126450416521	0.156167625401174	0.969206565285136	0.138552024319505
A01_bin.25	A04_bin.93	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	Gemmiger qucibialis	97.05	0.68	FALSE	TRUE	Predicted anaerobe	0.01656471765531915	0.012126142205555556	34	72.34042553191489	14	77.77777777777777	0.44967439911505747	0.32529637382791393	FALSE	0.458725982490848	0.888469277634779	-0.233265401580626	0.376192504182332	1.0	0.0882541746165474
A01_bin.28	A01_bin.28	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1623;s__UMGS1623 sp934647945	UMGS1623 sp934647945	89.35	4.62	FALSE	TRUE	Predicted anaerobe	0.015525765568085107	0.0022606532444444443	17	36.170212765957444	6	33.333333333333336	2.7744140246102904	1.003511455710105	FALSE	0.000179631151564138	0.0539104280935389	-1.75837237450633	0.666810099698565	1.0	-0.0372717593460683
A01_bin.29	A01_bin.29	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Scatomorpha;s__Scatomorpha pullicola	Scatomorpha pullicola	94.16	1.34	FALSE	TRUE	Predicted anaerobe	0.011343262978723404	0.007422407416666666	5	10.638297872340425	4	22.22222222222222	0.611205502014386	0.06502186191642403	FALSE	0.62819643877085	0.943026319703049	-0.200726310314259	0.415150622714784	0.977617797876744	0.124548747849527
A01_bin.31	A01_bin.31	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter torques	Mediterraneibacter torques	91.73	0	FALSE	TRUE	Predicted anaerobe	0.022507344240425532	0.010438965	27	57.4468085106383	8	44.44444444444444	1.107676635603437	0.6363248757721873	FALSE	0.994711933656509	1	-0.00236745145885448	0.540329294006926	1.0	-0.0897642123990905
A01_bin.32	F06_bin.75	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola fusiformis	Hominicoprocola fusiformis	94.41	1.93	FALSE	TRUE	Predicted anaerobe	0.024683415440425533	0.022366732722222223	33	70.2127659574468	14	77.77777777777777	0.1421269944343202	0.09979129396452269	FALSE	0.868111664538316	0.984846414163431	-0.0559505734845891	0.138802497438511	0.944473895278779	0.144725439871667
A01_bin.34	B08_bin.66	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes communis	Alistipes communis	97.58	0.48	FALSE	TRUE	Predicted anaerobe	0.030389779936170213	0.017501762072222222	28	59.57446808510638	10	55.55555555555556	0.795736621805044	0.4740558597987496	FALSE	0.243475997903013	0.775741915017688	-0.401179655311821	0.738399786282661	1.0	-0.0365086481246918
A01_bin.40	B04_bin.18	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	Alistipes onderdonkii	95.73	0.96	FALSE	TRUE	Predicted anaerobe	0.12378667248723405	0.09766467917222221	41	87.23404255319149	15	83.33333333333333	0.3419160203114063	0.29826716665463104	FALSE	0.824139720092045	0.983217763396128	-0.102659049426768	0.684932963688925	1.0	-0.0254039236856279
